,POI_yelp_id,station_ebikes,station_empty_slots,station_free_bikes,station_has_ebikes,station_id,station_normal_bikes,station_renting,station_returning,station_slots,station_distance_min,station_distance_max,station_distance_mean,station_distance_median,station_distance_25_percentile,station_distance_75_percentile,station_distance_IQR,POI_category_name,POI_category_count,POI_alias,POI_name,POI_is_closed,POI_url,POI_review_count,POI_rating,POI_price
11,-NCZMnAWcsXYrGAaqtD4sg,46,439,348,39,39,302,39,39,800,124.04738401674052,1414.9669840553977,771.5662346025248,870.1948304593064,572.9835564146405,987.9925515816647,415.0089951670242,['Transport_Hub'],1,black-top-and-checker-cabs-vancouver,Black Top & Checker Cabs,False,https://www.yelp.com/biz/black-top-and-checker-cabs-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,180,1.5,
12,-P961fNkJNpTfO4L1DAbSA,6,15,76,4,4,70,4,4,91,67.0858056549759,183.6032021176692,122.8729150132163,120.40132614011003,90.71206486630749,152.56217628701884,61.85011142071136,['Restaurant'],1,a-and-w-vancouver-19,A&W,False,https://www.yelp.com/biz/a-and-w-vancouver-19?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,26,2.5,$
13,-RStLKSNyENyOK5_kUEPtg,3,13,27,2,2,24,2,2,40,104.4773366413239,232.9773507170809,168.7273436792024,168.7273436792024,136.60234016026317,200.85234719814164,64.25000703787848,['Restaurant'],1,prado-cafe-vancouver-3,Prado Cafe,False,https://www.yelp.com/biz/prado-cafe-vancouver-3?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,90,4.0,$$
14,-Rx2Chkw-JYaA3PV4dGFqg,30,112,247,17,17,217,17,17,359,157.80810755671334,932.3527423759862,496.33137474646946,431.8394670537787,379.7556871957333,673.9277106410365,294.1720234453032,['Bar'],1,cambie-bar-and-grill-vancouver,Cambie Bar & Grill,False,https://www.yelp.com/biz/cambie-bar-and-grill-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,169,3.0,$
15,-SVK-4Pzu-GWWLcbumVUGQ,8,75,112,9,9,104,9,9,188,58.68540655478596,1102.5862855784176,412.26761439424985,299.0070430189623,195.9990652980473,459.1801065328104,263.1810412347631,['Restaurant'],1,lobster-foods-vancouver-8,Lobster Foods,False,https://www.yelp.com/biz/lobster-foods-vancouver-8?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,9,3.0,
16,-SkNedh2bJHPOcKfoFlTvg,3,25,15,2,2,12,2,2,40,45.05262641787287,200.9601086266925,123.00636752228269,123.00636752228269,84.02949697007777,161.9832380744876,77.95374110440981,['Restaurant'],1,big-bowl-rice-vancouver,Big Bowl Rice,False,https://www.yelp.com/biz/big-bowl-rice-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,32,3.5,$
17,-WbkQUQNFAQTwrvyl44dwQ,20,93,98,11,11,78,11,11,190,124.40310762122952,1047.0391880772763,559.6489595285408,544.885564756016,321.1797813396347,753.4924463815178,432.31266504188306,['Fuel_Station'],1,husky-vancouver-2,Husky,False,https://www.yelp.com/biz/husky-vancouver-2?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,2,3.0,
18,-fHqwIU4S-uD9O-ouzhE_A,59,548,516,52,52,457,52,52,1074,31.28232473429427,1375.7085595723645,716.7062557697437,790.0599203840458,468.669385080045,957.5926443681047,488.92325928805974,['Park'],1,rainbow-park-vancouver,Rainbow Park,False,https://www.yelp.com/biz/rainbow-park-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,2,5.0,
19,-i9Y463tpAdh2sDAzvd7BQ,3,21,33,2,2,30,2,2,54,205.82959022589745,216.28653443606152,211.05806233097948,211.05806233097948,208.44382627843845,213.6722983835205,5.228472105082062,['Restaurant'],1,new-amsterdam-café-vancouver-2,New Amsterdam Café,False,https://www.yelp.com/biz/new-amsterdam-caf%C3%A9-vancouver-2?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,67,4.0,$
20,-i_90zUNnfRn1XcKqa7nfA,9,38,35,4,4,26,4,4,72,185.936203374314,831.8586911251581,575.4160694043842,641.9346915590323,485.2988923732563,732.0518685901602,246.7529762169039,['Restaurant'],1,enzo-s-rustico-romano-vancouver,Enzo’s Rustico Romano,False,https://www.yelp.com/biz/enzo-s-rustico-romano-vancouver?adjust_creative=NIcD8b9uXX3kw0W6kNfMVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NIcD8b9uXX3kw0W6kNfMVw,2,4.5,
