station_id,station_name,latitude,longitude,empty_slots,free_bikes,timestamp,extra.uid,extra.normal_bikes,extra.has_ebikes,extra.ebikes,extra.slots,extra.renting,extra.returning,extra.last_updated
7a19c49f486d7c0c02b3685d7b240448,10th & Cambie,49.262487,-123.114397,14,21,2023-02-13T19:22:31.595000Z,0001,17,True,4,35,True,True,1676316003
32603a87cfca71d0f7dfa3513bad69d5,Yaletown-Roundhouse Station,49.274566,-123.121817,7,9,2023-02-13T19:22:31.591000Z,0004,8,True,1,16,True,True,1676315894
6d42fa40360f9a6b2bf641c7b8bb2862,Dunsmuir & Beatty,49.279764,-123.110154,13,13,2023-02-13T19:22:31.592000Z,0005,13,True,0,26,True,True,1676315968
66f873d641d448bd1572ab086665a458,12th & Yukon (City Hall),49.260599,-123.113504,14,2,2023-02-13T19:22:31.593000Z,0007,2,True,0,16,True,True,1676316133
485d4d24c803cfde829ab89699fed833,8th & Ash,49.264215,-123.117772,7,9,2023-02-13T19:22:31.604000Z,0008,7,True,2,16,True,True,1676315653
b07d513f87897cff7319a0e59d7e567c,Spyglass & Seawall,49.270877,-123.115103,3,11,2023-02-13T19:22:31.604000Z,0009,10,True,1,14,True,True,1676316111
d1c9556d92f329703229fb3e33899a3b,Stamps Landing,49.26893,-123.11813,12,2,2023-02-13T19:22:31.624000Z,0010,2,True,0,14,True,True,1676315587
95e624191c655f50e401d280cd39a9ad,Ontario & Seawall,49.271721,-123.104207,13,7,2023-02-13T19:22:31.624000Z,0011,6,True,1,20,True,True,1676315924
3e112f9fe877e0003780386359060ae6,Canada Place,49.287214,-123.11287,6,20,2023-02-13T19:22:31.622000Z,0014,19,True,1,26,True,True,1676315914
6993b3dbb0758927967592ea612a2b1e,Granville & Georgia,49.282409,-123.118541,9,11,2023-02-13T19:22:31.621000Z,0015,11,True,0,20,True,True,1676316058
bf8408067b0e0c963f3ff526977bcef3,Pender & Burrard,49.287097,-123.118551,13,13,2023-02-13T19:22:31.620000Z,0016,12,True,1,26,True,True,1676316036
d2244f1a81d317c76cabd65e81250835,Marinaside & Davie,49.273471,-123.118016,2,20,2023-02-13T19:22:31.619000Z,0017,19,True,1,22,True,True,1676316100
