,station_empty_slots,station_free_bikes,station_normal_bikes,station_ebikes,station_slots,Bar_FS,EV_Charging_Station_FS,Fuel_Station_FS,Park_FS,Parking_FS,Restaurant_FS,Transport_Hub_FS,Bar_yelp,EV_Charging_Station_yelp,Fuel_Station_yelp,Park_yelp,Parking_yelp,Restaurant_yelp,Transport_Hub_yelp
44,3,25,25,0,28,20.0,0.0,6.0,25.0,2.0,50.0,9.0,27.0,0.0,7.0,13.0,1.0,50.0,6.0
45,9,11,10,1,20,50.0,3.0,3.0,19.0,37.0,50.0,44.0,50.0,0.0,2.0,14.0,11.0,50.0,23.0
46,9,9,3,6,18,50.0,3.0,4.0,20.0,45.0,50.0,50.0,50.0,0.0,2.0,16.0,16.0,50.0,27.0
47,4,14,12,2,18,16.0,0.0,0.0,18.0,6.0,50.0,10.0,12.0,1.0,0.0,12.0,2.0,50.0,50.0
48,20,0,0,0,20,50.0,0.0,4.0,27.0,9.0,50.0,27.0,50.0,0.0,3.0,13.0,2.0,50.0,8.0
49,18,0,0,0,18,20.0,0.0,0.0,22.0,4.0,50.0,11.0,22.0,0.0,0.0,12.0,2.0,50.0,3.0
50,9,7,7,0,16,20.0,0.0,0.0,22.0,5.0,50.0,12.0,25.0,0.0,0.0,12.0,2.0,50.0,3.0
51,11,7,7,0,18,50.0,1.0,3.0,24.0,21.0,50.0,38.0,50.0,0.0,1.0,14.0,5.0,50.0,14.0
52,0,18,15,3,18,50.0,1.0,2.0,14.0,39.0,50.0,40.0,50.0,0.0,0.0,8.0,18.0,50.0,22.0
53,21,6,4,2,28,50.0,4.0,6.0,19.0,50.0,50.0,50.0,50.0,0.0,2.0,12.0,20.0,50.0,32.0
54,6,10,10,0,16,5.0,0.0,0.0,9.0,1.0,27.0,6.0,8.0,0.0,0.0,9.0,0.0,50.0,4.0
55,4,12,10,2,16,4.0,0.0,0.0,13.0,0.0,6.0,0.0,10.0,0.0,0.0,4.0,0.0,50.0,0.0
56,10,8,7,1,18,8.0,0.0,0.0,14.0,1.0,31.0,1.0,10.0,0.0,0.0,6.0,0.0,50.0,0.0
57,10,10,10,0,20,6.0,0.0,0.0,8.0,0.0,7.0,5.0,7.0,0.0,0.0,4.0,1.0,47.0,5.0
58,10,8,8,0,18,10.0,0.0,0.0,11.0,5.0,50.0,9.0,5.0,1.0,0.0,9.0,2.0,50.0,50.0
59,13,3,3,0,16,38.0,0.0,3.0,12.0,4.0,50.0,15.0,33.0,1.0,3.0,10.0,1.0,50.0,50.0
60,17,9,8,1,26,27.0,0.0,8.0,23.0,2.0,50.0,12.0,25.0,0.0,8.0,11.0,1.0,50.0,4.0
