POI_category_name,POI_category_ID,station_id,station_name,fsq_id,POI_name,distance,timezone,link,categories_id,categories_name,categories_icon.prefix,categories_icon.suffix
EV Charging Station,19006,910027847876403b57f1013c16504688,Richards & Robson,5b9d8e07f00a70002c36745e,Tesla Supercharger,850,America/Vancouver,/v3/places/5b9d8e07f00a70002c36745e,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,910027847876403b57f1013c16504688,Richards & Robson,c19d6e727d27af219fa6f680,Tesla Supercharger,268,,/v3/places/c19d6e727d27af219fa6f680,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,910027847876403b57f1013c16504688,Richards & Robson,cd6a5cb19a7c4ab43aae0a0a,Lucid Motors,361,,/v3/places/cd6a5cb19a7c4ab43aae0a0a,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,910027847876403b57f1013c16504688,Richards & Robson,a64ba6ed6b0057b1e68f5173,Electric Charging Station,607,,/v3/places/a64ba6ed6b0057b1e68f5173,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,9413725a5d3bb5ce2ad0682b07a3ffab,Georgia & Homer,5b9d8e07f00a70002c36745e,Tesla Supercharger,759,America/Vancouver,/v3/places/5b9d8e07f00a70002c36745e,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,9413725a5d3bb5ce2ad0682b07a3ffab,Georgia & Homer,cd6a5cb19a7c4ab43aae0a0a,Lucid Motors,345,,/v3/places/cd6a5cb19a7c4ab43aae0a0a,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,9413725a5d3bb5ce2ad0682b07a3ffab,Georgia & Homer,c19d6e727d27af219fa6f680,Tesla Supercharger,381,,/v3/places/c19d6e727d27af219fa6f680,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,9413725a5d3bb5ce2ad0682b07a3ffab,Georgia & Homer,a64ba6ed6b0057b1e68f5173,Electric Charging Station,671,,/v3/places/a64ba6ed6b0057b1e68f5173,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,e9b37f2d9b7b2e2e3ade73f13acb69b2,Richards & Davie,c19d6e727d27af219fa6f680,Tesla Supercharger,758,,/v3/places/c19d6e727d27af219fa6f680,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,e9b37f2d9b7b2e2e3ade73f13acb69b2,Richards & Davie,cd6a5cb19a7c4ab43aae0a0a,Lucid Motors,992,,/v3/places/cd6a5cb19a7c4ab43aae0a0a,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,da8b6e94f90ad41a3f8de10596992372,Jervis & Robson,5b9d8e07f00a70002c36745e,Tesla Supercharger,1035,America/Vancouver,/v3/places/5b9d8e07f00a70002c36745e,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,da8b6e94f90ad41a3f8de10596992372,Jervis & Robson,a64ba6ed6b0057b1e68f5173,Electric Charging Station,534,,/v3/places/a64ba6ed6b0057b1e68f5173,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,da8b6e94f90ad41a3f8de10596992372,Jervis & Robson,c19d6e727d27af219fa6f680,Tesla Supercharger,831,,/v3/places/c19d6e727d27af219fa6f680,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,da8b6e94f90ad41a3f8de10596992372,Jervis & Robson,cd6a5cb19a7c4ab43aae0a0a,Lucid Motors,892,,/v3/places/cd6a5cb19a7c4ab43aae0a0a,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
EV Charging Station,19006,32f70f7ae14ba87523c6286a6c4d5c37,Smithe & Burrard,5b9d8e07f00a70002c36745e,Tesla Supercharger,927,America/Vancouver,/v3/places/5b9d8e07f00a70002c36745e,19006.0,Electric Vehicle Charging Station,https://ss3.4sqi.net/img/categories_v2/shops/automotive_,.png
